scenario_id,name,category,database,volume,trial,time_ms
I1,Rejestracja uzytkownika (multi-table),INSERT,postgres,small,1,7.499
I1,Rejestracja uzytkownika (multi-table),INSERT,postgres,small,2,3.931
I1,Rejestracja uzytkownika (multi-table),INSERT,postgres,small,3,3.891
I2,Batch insert watch_history (1000 rekordow),INSERT,postgres,small,1,54.125
I2,Batch insert watch_history (1000 rekordow),INSERT,postgres,small,2,24.195
I2,Batch insert watch_history (1000 rekordow),INSERT,postgres,small,3,24.296
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,postgres,small,1,8.848
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,postgres,small,2,7.285
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,postgres,small,3,7.069
I4,Batch insert platnosci (1000 rekordow),INSERT,postgres,small,1,22.503
I4,Batch insert platnosci (1000 rekordow),INSERT,postgres,small,2,20.949
I4,Batch insert platnosci (1000 rekordow),INSERT,postgres,small,3,22.953
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,postgres,small,1,4.612
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,postgres,small,2,4.969
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,postgres,small,3,3.13
I6,Import osob z powiazaniami (100 osob),INSERT,postgres,small,1,90.677
I6,Import osob z powiazaniami (100 osob),INSERT,postgres,small,2,90.833
I6,Import osob z powiazaniami (100 osob),INSERT,postgres,small,3,88.567
S1,Strona glowna (filtrowanie + sortowanie),SELECT,postgres,small,1,1.28
S1,Strona glowna (filtrowanie + sortowanie),SELECT,postgres,small,2,0.567
S1,Strona glowna (filtrowanie + sortowanie),SELECT,postgres,small,3,0.619
S2,Rekomendacje collaborative filtering,SELECT,postgres,small,1,12.292
S2,Rekomendacje collaborative filtering,SELECT,postgres,small,2,11.386
S2,Rekomendacje collaborative filtering,SELECT,postgres,small,3,10.808
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,postgres,small,1,7.012
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,postgres,small,2,6.361
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,postgres,small,3,6.085
S4,Wyszukiwanie pelnotekstowe po tytule (ILIKE),SELECT,postgres,small,1,1.065
S4,Wyszukiwanie pelnotekstowe po tytule (ILIKE),SELECT,postgres,small,2,0.711
S4,Wyszukiwanie pelnotekstowe po tytule (ILIKE),SELECT,postgres,small,3,0.642
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,postgres,small,1,3.232
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,postgres,small,2,2.471
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,postgres,small,3,2.373
S6,Filmografia osoby (JOIN people->content),SELECT,postgres,small,1,1.248
S6,Filmografia osoby (JOIN people->content),SELECT,postgres,small,2,0.734
S6,Filmografia osoby (JOIN people->content),SELECT,postgres,small,3,0.697
U1,Aktualizacja postepu ogladania,UPDATE,postgres,small,1,3.635
U1,Aktualizacja postepu ogladania,UPDATE,postgres,small,2,3.192
U1,Aktualizacja postepu ogladania,UPDATE,postgres,small,3,3.089
U2,Przeliczenie avg_rating (podzapytanie AVG),UPDATE,postgres,small,1,2.913
U2,Przeliczenie avg_rating (podzapytanie AVG),UPDATE,postgres,small,2,2.802
U2,Przeliczenie avg_rating (podzapytanie AVG),UPDATE,postgres,small,3,3.455
I1,Rejestracja uzytkownika (multi-table),INSERT,mysql,small,1,9.795
I1,Rejestracja uzytkownika (multi-table),INSERT,mysql,small,2,11.94
I1,Rejestracja uzytkownika (multi-table),INSERT,mysql,small,3,11.97
I2,Batch insert watch_history (1000 rekordow),INSERT,mysql,small,1,21.659
I2,Batch insert watch_history (1000 rekordow),INSERT,mysql,small,2,67.852
I2,Batch insert watch_history (1000 rekordow),INSERT,mysql,small,3,61.966
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,mysql,small,1,17.398
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,mysql,small,2,17.615
I3,Dodanie serialu z drzewem (content+seasons+episodes+cast),INSERT,mysql,small,3,15.565
I4,Batch insert platnosci (1000 rekordow),INSERT,mysql,small,1,72.513
I4,Batch insert platnosci (1000 rekordow),INSERT,mysql,small,2,66.138
I4,Batch insert platnosci (1000 rekordow),INSERT,mysql,small,3,66.834
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,mysql,small,1,11.372
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,mysql,small,2,9.77
I5,Dodanie oceny z przeliczeniem avg_rating,INSERT,mysql,small,3,11.602
I6,Import osob z powiazaniami (100 osob),INSERT,mysql,small,1,18.411
I6,Import osob z powiazaniami (100 osob),INSERT,mysql,small,2,22.721
I6,Import osob z powiazaniami (100 osob),INSERT,mysql,small,3,16.561
S1,Strona glowna (filtrowanie + sortowanie),SELECT,mysql,small,1,0.812
S1,Strona glowna (filtrowanie + sortowanie),SELECT,mysql,small,2,0.686
S1,Strona glowna (filtrowanie + sortowanie),SELECT,mysql,small,3,0.66
S2,Rekomendacje collaborative filtering,SELECT,mysql,small,1,8.136
S2,Rekomendacje collaborative filtering,SELECT,mysql,small,2,4.058
S2,Rekomendacje collaborative filtering,SELECT,mysql,small,3,2.974
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,mysql,small,1,7.666
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,mysql,small,2,8.219
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,mysql,small,3,7.736
S4,Wyszukiwanie pelnotekstowe po tytule (LIKE),SELECT,mysql,small,1,0.946
S4,Wyszukiwanie pelnotekstowe po tytule (LIKE),SELECT,mysql,small,2,0.738
